Order ID,Customer ID,Order Date,Product Name,Product Category,Product Type,Revenue,Discount Applied,Discount Amount,Coupon Code,Subscription Status,Subscription Start Date,Subscription End Date,Is Upsell,Upsell Source,Churned,Order Count,Fulfillment Status,Payment Method,Device Used,Traffic Source,Country,Region,Shipping Fee,Tax Collected,Refund Status,Customer Segment,Customer Email Opt-in,Average Session Duration,Pageviews,Cart Abandonment,Is First Purchase,Bundle Purchase,Loyalty Points Earned,Review Left,Customer Satisfaction Score,Shipping Method,Gift Order,Affiliate Source,Is Repeat Subscription
1001,CUST0026,2024-12-01,Energy Drink,Nutrition,One-Time,69.65,Yes,1.4,,,2024-11-01,2025-01-01,Yes,OneClickUpsell,Yes,5,Unfulfilled,Shop Pay,Mobile,Referral,Australia,South,3.38,5.46,Partial,New,No,91,4,Yes,Yes,No,256,Yes,1,Express,No,Yes,No
1002,CUST0003,2024-12-02,Energy Drink,Health,One-Time,99.08,No,16.1,,Active,2024-11-02,2025-01-02,No,Zipify,Yes,3,Fulfilled,Credit Card,Mobile,Email,Canada,West,6.74,7.24,Partial,VIP,No,182,16,Yes,Yes,No,214,No,5,Express,No,No,No
1003,CUST0015,2024-12-03,Pre-Workout,Accessories,One-Time,88.56,Yes,3.0,NEW20,Churned,2024-11-03,2025-01-03,Yes,,No,1,Fulfilled,Credit Card,Desktop,Organic,Canada,South,6.53,3.64,None,New,Yes,192,3,No,No,No,284,No,9,Overnight,No,No,No
1004,CUST0041,2024-12-04,Pre-Workout,Accessories,Subscription,53.56,No,15.94,BFCM,Churned,2024-11-04,2025-01-04,No,,Yes,8,Fulfilled,PayPal,Desktop,Ads,USA,South,12.24,6.81,None,Returning,Yes,75,13,No,Yes,Yes,272,No,1,Standard,Yes,No,Yes
1005,CUST0038,2024-12-05,Vitamin Pack,Accessories,Subscription,55.02,No,17.37,NEW20,Active,2024-11-05,2025-01-05,No,,No,7,Pending,Shop Pay,Tablet,Ads,Australia,South,13.3,8.65,None,New,Yes,234,10,Yes,Yes,No,67,Yes,7,Standard,No,No,Yes
1006,CUST0002,2024-12-06,Energy Drink,Fitness,Subscription,21.39,No,3.33,,Active,2024-11-06,2025-01-06,Yes,,No,5,Unfulfilled,Shop Pay,Mobile,Ads,UK,West,6.94,9.76,Partial,New,Yes,266,18,Yes,No,Yes,239,Yes,3,Overnight,No,No,No
1007,CUST0001,2024-12-07,Energy Drink,Fitness,Subscription,60.6,No,17.01,,Active,2024-11-07,2025-01-07,No,Zipify,Yes,2,Fulfilled,Shop Pay,Mobile,Email,Canada,West,2.0,5.0,Partial,VIP,No,78,18,No,Yes,Yes,160,Yes,7,Express,Yes,Yes,No
1008,CUST0029,2024-12-08,Pre-Workout,Nutrition,Subscription,44.04,Yes,10.64,SUMMER10,Active,2024-11-08,2025-01-08,Yes,,Yes,7,Pending,PayPal,Tablet,Email,USA,West,0.49,5.02,Partial,New,No,279,9,Yes,Yes,No,408,No,6,Overnight,Yes,No,Yes
1009,CUST0047,2024-12-09,Protein Bar,Fitness,Subscription,81.05,Yes,19.73,SUMMER10,,2024-11-09,2025-01-09,Yes,OneClickUpsell,Yes,8,Unfulfilled,PayPal,Mobile,Ads,USA,West,7.03,9.36,Partial,New,No,69,17,No,No,Yes,224,No,7,Overnight,No,No,Yes
1010,CUST0036,2024-12-10,Protein Bar,Health,One-Time,45.86,No,6.4,,Churned,2024-11-10,2025-01-10,No,OneClickUpsell,Yes,6,Unfulfilled,Shop Pay,Mobile,Ads,USA,South,3.37,4.49,None,VIP,No,71,2,Yes,No,No,376,No,2,Express,Yes,No,Yes
1011,CUST0042,2024-12-11,Energy Drink,Nutrition,One-Time,55.98,Yes,0.9,,,2024-11-11,2025-01-11,No,PostPilot,No,4,Unfulfilled,Shop Pay,Tablet,Referral,USA,West,9.72,1.5,None,New,No,32,1,No,No,No,411,Yes,4,Overnight,No,Yes,Yes
1012,CUST0015,2024-12-12,Pre-Workout,Nutrition,One-Time,26.62,Yes,14.09,,,2024-11-12,2025-01-12,No,Zipify,Yes,5,Unfulfilled,PayPal,Tablet,Referral,Canada,West,0.08,6.53,Full,Returning,No,111,9,Yes,Yes,Yes,66,Yes,5,Express,No,Yes,No
1013,CUST0022,2024-12-13,Pre-Workout,Health,Subscription,23.76,No,11.87,,,2024-11-13,2025-01-13,Yes,,Yes,5,Pending,PayPal,Tablet,Referral,Australia,East,4.9,7.39,Partial,Returning,No,49,14,Yes,No,Yes,294,Yes,6,Standard,No,Yes,No
1014,CUST0027,2024-12-14,Vitamin Pack,Nutrition,Subscription,28.69,Yes,16.4,SUMMER10,Active,2024-11-14,2025-01-14,Yes,Zipify,No,9,Pending,Credit Card,Mobile,Ads,UK,West,7.02,5.78,Full,New,No,54,19,No,No,Yes,437,Yes,4,Overnight,Yes,Yes,No
1015,CUST0008,2024-12-15,Pre-Workout,Health,One-Time,43.92,No,12.04,NEW20,Churned,2024-11-15,2025-01-15,Yes,,Yes,7,Unfulfilled,PayPal,Mobile,Email,UK,South,13.77,2.37,Partial,Returning,No,232,14,No,Yes,No,2,No,6,Express,Yes,Yes,No
1016,CUST0027,2024-12-16,Vitamin Pack,Accessories,Subscription,27.79,Yes,8.98,BFCM,,2024-11-16,2025-01-16,No,PostPilot,No,7,Pending,PayPal,Tablet,Referral,USA,West,9.58,6.62,None,New,No,187,7,Yes,No,No,431,Yes,7,Express,No,Yes,Yes
1017,CUST0031,2024-12-17,Shaker Bottle,Health,Subscription,56.54,No,0.95,BFCM,Churned,2024-11-17,2025-01-17,Yes,PostPilot,Yes,2,Fulfilled,PayPal,Mobile,Organic,Australia,West,3.22,4.34,Partial,VIP,Yes,256,3,Yes,No,No,176,No,7,Overnight,Yes,Yes,No
1018,CUST0037,2024-12-18,Pre-Workout,Fitness,Subscription,21.17,Yes,11.32,,Churned,2024-11-18,2025-01-18,Yes,PostPilot,Yes,6,Fulfilled,PayPal,Desktop,Referral,Canada,South,4.03,3.99,Full,VIP,No,150,9,Yes,Yes,Yes,198,Yes,3,Express,Yes,Yes,No
1019,CUST0020,2024-12-19,Pre-Workout,Nutrition,One-Time,81.21,No,8.38,,Churned,2024-11-19,2025-01-19,Yes,,No,3,Pending,PayPal,Desktop,Organic,UK,East,9.03,2.11,None,VIP,Yes,59,3,Yes,Yes,Yes,451,No,8,Standard,No,No,Yes
1020,CUST0013,2024-12-20,Vitamin Pack,Accessories,Subscription,52.85,Yes,0.46,,,2024-11-20,2025-01-20,Yes,,Yes,5,Pending,PayPal,Tablet,Ads,Australia,West,2.53,3.99,Full,VIP,Yes,151,3,Yes,Yes,No,126,Yes,2,Standard,Yes,Yes,No
1021,CUST0045,2024-12-21,Vitamin Pack,Nutrition,One-Time,98.32,Yes,10.79,NEW20,Churned,2024-11-21,2025-01-21,No,Zipify,No,2,Pending,PayPal,Desktop,Ads,USA,West,12.04,1.56,Partial,Returning,No,145,15,Yes,Yes,No,424,Yes,9,Overnight,Yes,Yes,Yes
1022,CUST0044,2024-12-22,Protein Bar,Health,Subscription,74.66,No,13.98,SUMMER10,,2024-11-22,2025-01-22,No,PostPilot,No,8,Pending,Shop Pay,Mobile,Ads,UK,South,1.98,5.23,None,New,Yes,196,11,Yes,No,Yes,496,Yes,2,Express,No,Yes,Yes
1023,CUST0021,2024-12-23,Energy Drink,Nutrition,One-Time,67.31,Yes,10.93,,,2024-11-23,2025-01-23,No,PostPilot,Yes,2,Unfulfilled,Shop Pay,Tablet,Email,USA,West,0.86,7.89,Full,VIP,No,107,1,No,No,Yes,193,No,7,Standard,Yes,Yes,Yes
1024,CUST0037,2024-12-24,Protein Bar,Nutrition,One-Time,43.47,No,9.55,,Churned,2024-11-24,2025-01-24,Yes,OneClickUpsell,Yes,1,Fulfilled,Shop Pay,Tablet,Email,Canada,West,10.58,8.36,Full,VIP,Yes,204,7,No,No,No,218,Yes,2,Overnight,No,No,No
1025,CUST0037,2024-12-25,Shaker Bottle,Accessories,One-Time,52.58,Yes,0.22,SUMMER10,,2024-11-25,2025-01-25,No,OneClickUpsell,Yes,5,Unfulfilled,Shop Pay,Tablet,Ads,Canada,South,4.76,9.17,Partial,Returning,No,89,16,Yes,Yes,Yes,417,No,6,Overnight,Yes,Yes,Yes
1026,CUST0031,2024-12-26,Shaker Bottle,Accessories,Subscription,33.39,No,19.79,,,2024-11-26,2025-01-26,Yes,,No,6,Pending,Shop Pay,Tablet,Referral,Australia,South,5.69,6.3,Full,Returning,No,57,1,No,No,Yes,450,Yes,8,Standard,Yes,No,No
1027,CUST0041,2024-12-27,Energy Drink,Nutrition,Subscription,54.33,No,15.61,,Churned,2024-11-27,2025-01-27,Yes,PostPilot,No,6,Unfulfilled,Shop Pay,Tablet,Email,Australia,East,2.84,2.87,Full,VIP,Yes,289,10,No,No,Yes,59,No,9,Overnight,Yes,Yes,Yes
1028,CUST0013,2024-12-28,Pre-Workout,Fitness,Subscription,47.1,No,16.11,SUMMER10,Active,2024-11-28,2025-01-28,No,,Yes,2,Unfulfilled,Shop Pay,Tablet,Email,UK,East,3.24,7.49,Full,Returning,Yes,34,14,Yes,Yes,Yes,67,Yes,4,Overnight,No,Yes,No
1029,CUST0032,2024-12-29,Protein Bar,Nutrition,One-Time,49.36,No,16.44,BFCM,Active,2024-11-29,2025-01-29,No,Zipify,Yes,1,Fulfilled,Credit Card,Desktop,Organic,Australia,South,2.64,1.37,Partial,New,Yes,180,14,Yes,Yes,Yes,79,Yes,8,Overnight,Yes,Yes,No
1030,CUST0023,2024-12-30,Vitamin Pack,Nutrition,Subscription,66.52,No,14.14,SUMMER10,Churned,2024-11-30,2025-01-30,No,Zipify,No,6,Fulfilled,Credit Card,Mobile,Referral,Canada,East,10.75,2.05,Full,VIP,No,46,7,No,No,No,196,Yes,5,Express,Yes,Yes,No
1031,CUST0041,2024-12-31,Vitamin Pack,Fitness,One-Time,53.32,No,12.09,SUMMER10,Active,2024-12-01,2025-01-31,No,PostPilot,Yes,1,Unfulfilled,Shop Pay,Mobile,Ads,Canada,East,9.66,9.6,Partial,VIP,No,69,13,No,Yes,No,164,Yes,2,Standard,No,No,Yes
